Country ,Year,Life expectancy 
Australia,2002,80.174
Australia,2003,80.451
Australia,2004,80.711
Australia,2005,80.952
Australia,2006,81.174
Australia,2007,81.381
Australia,2008,81.577
Australia,2009,81.764
Australia,2010,81.944
Australia,2011,82.119
Australia,2012,82.291
Australia,2013,82.46
Australia,2014,82.627
Australia,2015,82.794
Australia,2016,82.959
Australia,2017,83.122
Australia,2018,83.281
Australia,2019,83.436
China,2002,72.061
China,2003,72.381
China,2004,72.689
China,2005,72.985
China,2006,73.271
China,2007,73.553
China,2008,73.835
China,2009,74.119
China,2010,74.409
China,2011,74.708
China,2012,75.013
China,2013,75.321
China,2014,75.629
China,2015,75.928
China,2016,76.21
China,2017,76.47
China,2018,76.704
China,2019,76.912
United States,2002,77.124
United States,2003,77.299
United States,2004,77.486
United States,2005,77.685
United States,2006,77.892
United States,2007,78.101
United States,2008,78.303
United States,2009,78.49
United States,2010,78.652
United States,2011,78.777
United States,2012,78.862
United States,2013,78.909
United States,2014,78.922
United States,2015,78.91
United States,2016,78.885
United States,2017,78.861
United States,2018,78.851
United States,2019,78.862